Drosophila melanogaster	DROSOPHILAMELANOGASTER*
Caenorhabditis elegans strain N2	CAENORHABDITISELEGANSSTRAINN2*
Ecdysozoa	ECDYSOZOA
Ciona intestinalis	CIONAINTESTINALIS*
Ciona savignyi	CIONASAVIGNYI*
Ciona	CIONA
Eptatretus burgeri	EPTATRETUSBURGERI*
Petromyzon marinus	PETROMYZONMARINUS*
Cyclostomata	CYCLOSTOMATA
Astyanax mexicanus Astyanax_mexicanus-2.0	ASTYANAXMEXICANUSASTYANAXMEXICANUS2.0*
Astyanax mexicanus Astyanax_mexicanus-1.0.2	ASTYANAXMEXICANUSASTYANAXMEXICANUS1.0.2*
Astyanax mexicanus	ASTYANAXMEXICANUS
Pygocentrus nattereri	PYGOCENTRUSNATTERERI*
Characoidei	CHARACOIDEI
Electrophorus electricus	ELECTROPHORUSELECTRICUS*
Characiphysae	CHARACIPHYSAE
Ictalurus punctatus	ICTALURUSPUNCTATUS*
Characiphysae	CHARACIPHYSAE
Danio rerio	DANIORERIO*
Otophysi	OTOPHYSI
Clupea harengus	CLUPEAHARENGUS*
Denticeps clupeoides	DENTICEPSCLUPEOIDES*
Clupeiformes	CLUPEIFORMES
Otomorpha	OTOMORPHA
Fundulus heteroclitus	FUNDULUSHETEROCLITUS*
Cyprinodon variegatus	CYPRINODONVARIEGATUS*
Cyprinodontoidei	CYPRINODONTOIDEI
Xiphophorus maculatus	XIPHOPHORUSMACULATUS*
Xiphophorus couchianus	XIPHOPHORUSCOUCHIANUS*
Xiphophorus	XIPHOPHORUS
Gambusia affinis	GAMBUSIAAFFINIS*
Poeciliinae	POECILIINAE
Poecilia latipinna	POECILIALATIPINNA*
Poecilia formosa	POECILIAFORMOSA*
Poecilia	POECILIA
Poecilia mexicana	POECILIAMEXICANA*
Poecilia	POECILIA
Poecilia reticulata	POECILIARETICULATA*
Poecilia	POECILIA
Poeciliinae	POECILIINAE
Cyprinodontoidei	CYPRINODONTOIDEI
Kryptolebias marmoratus	KRYPTOLEBIASMARMORATUS*
Cyprinodontiformes	CYPRINODONTIFORMES
Oryzias latipes ASM223467v1	ORYZIASLATIPESASM223467V1*
Oryzias latipes ASM223471v1	ORYZIASLATIPESASM223471V1*
Oryzias latipes	ORYZIASLATIPES
Oryzias latipes ASM223469v1	ORYZIASLATIPESASM223469V1*
Oryzias latipes	ORYZIASLATIPES
Oryzias melastigma	ORYZIASMELASTIGMA*
Oryzias	ORYZIAS
Atherinomorphae	ATHERINOMORPHAE
Gouania willdenowi	GOUANIAWILLDENOWI*
Ovalentaria	OVALENTARIA
Amphiprion percula	AMPHIPRIONPERCULA*
Amphiprion ocellaris	AMPHIPRIONOCELLARIS*
Amphiprion	AMPHIPRION
Acanthochromis polyacanthus	ACANTHOCHROMISPOLYACANTHUS*
Pomacentridae	POMACENTRIDAE
Stegastes partitus	STEGASTESPARTITUS*
Pomacentridae	POMACENTRIDAE
Parambassis ranga	PARAMBASSISRANGA*
Ovalentaria incertae sedis	OVALENTARIAINCERTAESEDIS
Maylandia zebra	MAYLANDIAZEBRA*
Astatotilapia calliptera	ASTATOTILAPIACALLIPTERA*
Haplochromini	HAPLOCHROMINI
Pundamilia nyererei	PUNDAMILIANYEREREI*
Haplochromini	HAPLOCHROMINI
Haplochromis burtoni	HAPLOCHROMISBURTONI*
Haplochromini	HAPLOCHROMINI
Neolamprologus brichardi	NEOLAMPROLOGUSBRICHARDI*
Pseudocrenilabrinae	PSEUDOCRENILABRINAE
Oreochromis niloticus	OREOCHROMISNILOTICUS*
Pseudocrenilabrinae	PSEUDOCRENILABRINAE
Amphilophus citrinellus	AMPHILOPHUSCITRINELLUS*
Cichlidae	CICHLIDAE
Ovalentaria	OVALENTARIA
Ovalentaria	OVALENTARIA
Tetraodon nigroviridis	TETRAODONNIGROVIRIDIS*
Takifugu rubripes	TAKIFUGURUBRIPES*
Tetraodontidae	TETRAODONTIDAE
Mola mola	MOLAMOLA*
Tetraodontiformes	TETRAODONTIFORMES
Cottoperca gobio	COTTOPERCAGOBIO*
Gasterosteus aculeatus	GASTEROSTEUSACULEATUS*
Perciformes	PERCIFORMES
Larimichthys crocea	LARIMICHTHYSCROCEA*
Eupercaria	EUPERCARIA
Labrus bergylta	LABRUSBERGYLTA*
Eupercaria	EUPERCARIA
Eupercaria	EUPERCARIA
Cynoglossus semilaevis	CYNOGLOSSUSSEMILAEVIS*
Scophthalmus maximus	SCOPHTHALMUSMAXIMUS*
Pleuronectoidei	PLEURONECTOIDEI
Seriola dumerili	SERIOLADUMERILI*
Seriola lalandi dorsalis	SERIOLALALANDIDORSALIS*
Seriola	SERIOLA
Lates calcarifer	LATESCALCARIFER*
Carangaria	CARANGARIA
Carangaria	CARANGARIA
Mastacembelus armatus	MASTACEMBELUSARMATUS*
Monopterus albus	MONOPTERUSALBUS*
Synbranchiformes	SYNBRANCHIFORMES
Anabas testudineus	ANABASTESTUDINEUS*
Betta splendens	BETTASPLENDENS*
Anabantoidei	ANABANTOIDEI
Anabantaria	ANABANTARIA
Percomorphaceae	PERCOMORPHACEAE
Percomorphaceae	PERCOMORPHACEAE
Percomorphaceae	PERCOMORPHACEAE
Hippocampus comes	HIPPOCAMPUSCOMES*
Percomorphaceae	PERCOMORPHACEAE
Periophthalmus magnuspinnatus	PERIOPHTHALMUSMAGNUSPINNATUS*
Percomorphaceae	PERCOMORPHACEAE
Gadus morhua	GADUSMORHUA*
Acanthomorphata	ACANTHOMORPHATA
Hucho hucho	HUCHOHUCHO*
Esox lucius	ESOXLUCIUS*
Protacanthopterygii	PROTACANTHOPTERYGII
Euteleosteomorpha	EUTELEOSTEOMORPHA
Clupeocephala	CLUPEOCEPHALA
Scleropages formosus	SCLEROPAGESFORMOSUS*
Paramormyrops kingsleyae	PARAMORMYROPSKINGSLEYAE*
Osteoglossiformes	OSTEOGLOSSIFORMES
Osteoglossocephalai	OSTEOGLOSSOCEPHALAI
Lepisosteus oculatus	LEPISOSTEUSOCULATUS*
Neopterygii	NEOPTERYGII
Erpetoichthys calabaricus	ERPETOICHTHYSCALABARICUS*
Actinopterygii	ACTINOPTERYGII
Erinaceus europaeus	ERINACEUSEUROPAEUS*
Sorex araneus	SOREXARANEUS*
Eulipotyphla	EULIPOTYPHLA
Pteropus vampyrus	PTEROPUSVAMPYRUS*
Myotis lucifugus	MYOTISLUCIFUGUS*
Chiroptera	CHIROPTERA
Equus caballus	EQUUSCABALLUS*
Equus asinus asinus	EQUUSASINUSASINUS*
Equus	EQUUS
Laurasiatheria	LAURASIATHERIA
Ursus maritimus	URSUSMARITIMUS*
Ursus americanus	URSUSAMERICANUS*
Ursus	URSUS
Ailuropoda melanoleuca	AILUROPODAMELANOLEUCA*
Ursidae	URSIDAE
Mustela putorius furo	MUSTELAPUTORIUSFURO*
Neovison vison	NEOVISONVISON*
Mustelinae	MUSTELINAE
Caniformia	CANIFORMIA
Canis lupus dingo	CANISLUPUSDINGO*
Canis lupus familiaris	CANISLUPUSFAMILIARIS*
Canis lupus	CANISLUPUS
Vulpes vulpes	VULPESVULPES*
Canidae	CANIDAE
Caniformia	CANIFORMIA
Panthera pardus	PANTHERAPARDUS*
Panthera tigris altaica	PANTHERATIGRISALTAICA*
Panthera	PANTHERA
Felis catus	FELISCATUS*
Felidae	FELIDAE
Carnivora	CARNIVORA
Laurasiatheria	LAURASIATHERIA
Ovis aries	OVISARIES*
Capra hircus	CAPRAHIRCUS*
Caprinae	CAPRINAE
Bos indicus x Bos taurus UOA_Brahman_1	BOSINDICUSXBOSTAURUSUOABRAHMAN1*
Bos indicus x Bos taurus UOA_Angus_1	BOSINDICUSXBOSTAURUSUOAANGUS1*
Bos indicus x Bos taurus	BOSINDICUSXBOSTAURUS
Bos taurus	BOSTAURUS*
Bos	BOS
Bos mutus	BOSMUTUS*
Bos	BOS
Bison bison bison	BISONBISONBISON*
Bovinae	BOVINAE
Bovidae	BOVIDAE
